States/UTs,2015-16,2016-17,2017-18 (Provisional)
Arunachal Pradesh,0.01,0.01,0.01
Assam,76.95,56.01,56.41
Bihar,4,2.94,2.94
Chhattisgarh,3.6,3.5,3.5
Gujarat,318.2,79.15,81.47
Haryana,35.83,32,32
Himachal Pradesh,9.35,7.72,7.72
Jammu & Kashmir,0.56,0.56,0.61
Karnataka,5.19,6.28,5.42
Kerala,0.37,0.37,0.38
Madhya Pradesh,424.5,405,405
Maharashtra,12.69,14.31,14.26
Manipur,0,NA,0
Meghalaya,1.11,1.11,1.11
Mizoram,0.01,0.01,0.01
Nagaland,2.89,2.98,3.06
Odisha,35.5,35.5,35.5
Punjab,73.74,73.74,73.74
Rajasthan,377.49,727.5,727.5
Tamil Nadu,2.72,2.93,2.93
Telangana,1.01,1.01,1.01
Uttar Pradesh,193.62,202.3,223.55
Uttarakhand,1.93,2.17,2.17
West Bengal,36.07,36.1,36.1
Total,1617.34,1693.2,1716.4
